m.missiontype	m.startyear	m.platform	m.missionnumber	f.serialnumber	catchsampleid	commonname	catchcategory	catchpartnumber	aphia	scientificname	identification	foreignobject	sampletype	group	conservation	catchproducttype	raisingfactor	catchweight	catchvolume	catchcount	abundancecategory	sampleproducttype	lengthmeasurement	lengthsampleweight	lengthsamplevolume	lengthsamplecount	specimensamplecount	agesamplecount	agingstructure	parasite	stomach	intestine	tissuesample	samplerecipient	catchcomment
4	2019	LMEL	13	2509	13	lusuer	LUSUER	1	127255	Sebastes viviparus			10		1	1	1.0	0.09		1		1	E	0.09		1									
4	2019	LMEL	13	2509	14	smørflyndre	SMØRFLYNDRE	1	127136	Glyptocephalus cynoglossus			20		1	1	1.0	0.41		1		1	E	0.41		1	1								
4	2019	LMEL	13	2509	15	brosme	BROSME	1	126447	Brosme brosme			20		1	1	1.0	6.26		5		1	E	6.26		5	5		2						
4	2019	LMEL	13	2509	16	vanlig uer	VANLIG UER	1	151324	Sebastes norvegicus			21		1	1	1.0	21.48		19		1	E	21.48		19	19	19							
4	2019	LMEL	13	2509	17	sei	SEI	1	126441	Pollachius virens			20		1	1	1.0	15.24		13		1	E	15.24		13	13	0							
4	2019	LMEL	13	2509	18	havmus	HAVMUS	1	105824	Chimaera monstrosa			20		1	1	1.0	9.14		6		1	H	9.14		6	6	0							
4	2019	LMEL	13	2509	19	øyepål	ØYEPÅL	1	126444	Trisopterus esmarkii			20		1	1	1.0	1.68		30		1	E	1.68		30	30	0							
4	2019	LMEL	13	2509	20	kolmule	KOLMULE	1	126439	Micromesistius poutassou			21		1	1	1.0	20.275		671		1	E	1.51		50	2	2	2						Sjekk over.Fryst flere
4	2019	LMEL	13	2510	1	sild'G03	SILD'G03	1	126417	Clupea harengus			23		1	1	1.0	1600.0		7320		1	E	21.64		99	99	30	3						
4	2019	LMEL	13	2510	2	brennmanet	BRENNMANET	1	135301	Cyanea capillata			90		1	1	1.0	45.0		30															
4	2019	LMEL	13	2511	1	brennmanet	BRENNMANET	1	135301	Cyanea capillata			90		1	1	1.0	16.832		21			A												
4	2019	LMEL	13	2511	2	glassmanet	GLASSMANET	1	135306	Aurelia aurita			90		1	1	1.0	14.436		19			A												
4	2019	LMEL	13	2511	3	hyse	HYSE	1	126437	Melanogrammus aeglefinus			10		1	1	1.0	0.348		49		1	E			1									
4	2019	LMEL	13	2511	5	sild'G03	SILD'G03	1	126417	Clupea harengus			23		1	1	1.0	1341.608		4990		1	E	26.887		100	100	30	2						
4	2019	LMEL	13	2512	1	knurr	KNURR	1	150637	Eutrigla gurnardus			20		1	1	1.0	0.51		1		1	E	0.51		1	1								
4	2019	LMEL	13	2512	2	rognkjeks	ROGNKJEKS	1	127214	Cyclopterus lumpus			20		1	1	1.0	2.35		3		1	E	2.35		3	3								
4	2019	LMEL	13	2512	3	brennmanet	BRENNMANET	1	135301	Cyanea capillata			90		1	1	1.0	31.0		29															
4	2019	LMEL	13	2512	4	glassmanet	GLASSMANET	2	135306	Aurelia aurita			90		1	1	1.0	1.1		2															
4	2019	LMEL	13	2512	5	hyse	HYSE	1	126437	Melanogrammus aeglefinus			10	10	1	1	1.0	0.42		52		1	E	0.24		30									
4	2019	LMEL	13	2512	6	torsk	TORSK	1	126436	Gadus morhua			10	10	1	1	1.0	0.013		7		1	E	0.013		7									
4	2019	LMEL	13	2512	7	sild'G03	SILD'G03	1	126417	Clupea harengus			23		1	1	1.0	75.4		445		1	E	16.95		100	100	30	3						
4	2019	LMEL	13	2513	1	sei	SEI	1	126441	Pollachius virens			10		1	1	1.0	41.49		27		1	E	41.49		27									
4	2019	LMEL	13	2513	2	øyepål	ØYEPÅL	1	126444	Trisopterus esmarkii			20		1	1	1.0	39.966		1122		1	E	1.069		30	30								
4	2019	LMEL	13	2513	3	lusuer	LUSUER	1	127255	Sebastes viviparus			10		1	1	1.0	122.962		1002		1	E	3.68		30									
4	2019	LMEL	13	2513	4	vassild	VASSILD	1	126715	Argentina silus			20		1	1	1.0	15.954		143		1	E	3.34		30	30								
4	2019	LMEL	13	2513	6	brosme	BROSME	1	126447	Brosme brosme			23		1	1	1.0	4.113		13		1	E	4.113		13	13		2						
4	2019	LMEL	13	2513	7	langhalet langebarn	LANGHALET LANGEBARN	1	154675	Lumpenus lampretaeformis			20		1	1	1.0	0.022		2		1	E	0.022		2	2								
4	2019	LMEL	13	2513	8	kolmule	KOLMULE	1	126439	Micromesistius poutassou			21		1	1	1.0	39.3		1332		1	E	2.95		100	3		2						
4	2019	LMEL	13	2513	9	sild'G03	SILD'G03	1	126417	Clupea harengus			23		1	1	1.0	0.165		1		1	E	0.165		1	1								
4	2019	LMEL	13	2513	10	gapeflyndre	GAPEFLYNDRE	1	127137	Hippoglossoides platessoides			20		1	1	1.0	0.171		11		1	E	0.171		11	11								
4	2019	LMEL	13	2513	11	krokulke	KROKULKE	1	127193	Artediellus atlanticus			20		1	1	1.0	0.09		14		1	E	0.09		14	14								
4	2019	LMEL	13	2513	12	hvitting	HVITTING	2	126438	Merlangius merlangus			20		1	1	1.0	0.004		2		1	E	0.004		2	2								
4	2019	LMEL	13	2513	13	tiarmete blekkspruter	TIARMETE BLEKKSPRUTER	1	11709	Coleoidea			92		1	1	1.0	0.01		1		1	B	0.01		1	1							3	Lis Linda Jørgensen
4	2019	LMEL	13	2513	14	rundskate	RUNDSKATE	1	105894	Rajella fyllae			20		1	1	1.0	0.002		1		1	E	0.002		1	1								
4	2019	LMEL	13	2513	15	fremmedlegeme	FREMMEDLEGEME	1					65		1	1	1.0	0.71																	
4	2019	LMEL	13	2513	16	fremmedlegeme	FREMMEDLEGEME	2					68		1	1	1.0	0.001																	
4	2019	LMEL	13	2513	17	hyse	HYSE	1	126437	Melanogrammus aeglefinus			21		1	1	1.0	6.14		32		1	E	6.14		32	7	0	2						
4	2019	LMEL	13	2513	18	hyse	HYSE	2	126437	Melanogrammus aeglefinus			21		1	1	1.0	0.042		4		1	E	0.042		4	3	0	2						
4	2019	LMEL	13	2513	20	sølvtorsk	SØLVTORSK	1	126435	Gadiculus argenteus			20		1	1	1.0	2.731		129		1	E	0.678		32	32	0							
4	2019	LMEL	13	2513	21	vanlig uer	VANLIG UER	1	151324	Sebastes norvegicus			21		1	1	1.0	0.845		1		1	E	0.845		1	1	1	2						
4	2019	LMEL	13	2513	22	lomre	LOMRE	1	127140	Microstomus kitt			20		1	1	1.0	0.515		2		1	E	0.515		2	2	0							
4	2019	LMEL	13	2513	23	gråsteinbit	GRÅSTEINBIT	1	126758	Anarhichas lupus			20		1	1	1.0	0.319		5		1	E	0.319		5	5	0							
4	2019	LMEL	13	2513	24	torsk	TORSK	1	126436	Gadus morhua			21		1	1	1.0	6.74		4		1	E	6.74		4	4	4	2						Mageprøve glemt
4	2019	LMEL	13	2513	25	torsk	TORSK	2	126436	Gadus morhua			21		1	1	1.0	0.005		1		1	E	0.005		1	1	0	2						Mageprøve glemt
4	2019	LMEL	13	2513	26	hvitting	HVITTING	1	126438	Merlangius merlangus			20		1	1	1.0	0.367		1		1	E	0.367		1	1	0							
4	2019	LMEL	13	2514	1	brennmanet	BRENNMANET	1	135301	Cyanea capillata			90		1	1	1.0	61.0		123			A												
4	2019	LMEL	13	2514	2	hyse	HYSE	1	126437	Melanogrammus aeglefinus			20		1	1	1.0	0.21		1		1	E	0.21		1	1								
4	2019	LMEL	13	2514	3	glassmaneter	GLASSMANETER	2	135263	Aurelia			90		1	1	1.0	0.99		10			A	0.33											
4	2019	LMEL	13	2514	4	knurr	KNURR	1	150637	Eutrigla gurnardus			20		1	1	1.0	0.615		1		1	E	0.615		1	1								
4	2019	LMEL	13	2514	5	rognkjeks	ROGNKJEKS	1	127214	Cyclopterus lumpus			20		1	1	1.0	1.45		2		1	E	1.45		2	2								
4	2019	LMEL	13	2514	6	hyse	HYSE	2	126437	Melanogrammus aeglefinus			10	10	1	1	1.0	0.729		121		1	E	0.18		30									
4	2019	LMEL	13	2514	7	torsk	TORSK	1	126436	Gadus morhua			10	10	1	1	1.0	0.141		114		1	E	0.037		30									
4	2019	LMEL	13	2514	8	brosme	BROSME	1	126447	Brosme brosme			10	10	1	1	1.0	0.001		1		1	E	0.001		1									
4	2019	LMEL	13	2514	9	firetrådet tangbrosme	FIRETRÅDET TANGBROSME	1	126450	Enchelyopus cimbrius			10	10	1	1	1.0	5.0E-4		2		1	E	5.0E-4		2									
4	2019	LMEL	13	2514	10	øyepål	ØYEPÅL	1	126444	Trisopterus esmarkii			10	10	1	1	1.0	0.002		5		1	E	0.002		5									
4	2019	LMEL	13	2514	11	sild'G03	SILD'G03	1	126417	Clupea harengus			23		1	1	1.0	8.1		192		1	E	4.22		100	100	30	3						
4	2019	LMEL	13	2515	1	sei	SEI	1	126441	Pollachius virens			20		1	1	1.0	145.53		85		1	E	51.5		30	30	0							
4	2019	LMEL	13	2515	2	vassild	VASSILD	1	126715	Argentina silus			20		1	1	1.0	37.15		461		1	E	2.415		30	30	0							
4	2019	LMEL	13	2515	3	øyepål	ØYEPÅL	1	126444	Trisopterus esmarkii			20		1	1	1.0	143.28		6063		1	E	0.709		30	30	0							
4	2019	LMEL	13	2515	4	kolmule	KOLMULE	1	126439	Micromesistius poutassou			21		1	1	1.0	2.14		59		1	E	2.14		59	4	4	2						
4	2019	LMEL	13	2515	5	gråsteinbit	GRÅSTEINBIT	1	126758	Anarhichas lupus			20		1	1	1.0	3.885		23		1	E	3.885		23	23								
