m.missiontype	m.startyear	m.platform	m.missionnumber	f.serialnumber	c.catchsampleid	specimenid	individualproducttype	individualweight	individualvolume	lengthresolution	length	fat	fatpercent	sex	maturationstage	specialstage	eggstage	moultingstage	spawningfrequency	stomachfillfield	stomachfilllab	digestion	liver	liverparasite	gillworms	swollengills	fungusheart	fungusspores	fungusouter	blackspot	vertebraecount	agingstructureread	agingstructureweight	age	spawningage	spawningzones	readability	otolithtype	otolithedge	otolithcentre	calibration	growthzone1	growthzone2	growthzone3	growthzone4	growthzone5	growthzone6	growthzone7	growthzone8	growthzone9	growthzonestotal	coastalannuli	oceanicannuli	agereader	preferredagereading	tagid	tagtype	gonadweight	liverweight	stomachweight	diameter	mantlelength	carapacelength	headlength	snouttoendoftail	snouttoendsqueezed	snouttoanalfin	snouttodorsalfin	forklength	snouttoboneknob	lengthwithouthead	carapacewidth	rightclawwidth	rightclawlength	meroswidth	meroslength	japanesecut	abdomenwidth	tissuesamplenumber	individualcomment	cond
4	2019	LMEL	13	2568	21	10	1			1	0.032																																																																						
4	2019	LMEL	13	2568	21	11	1			1	0.029																																																																						
4	2019	LMEL	13	2568	21	12	1			1	0.046																																																																						
4	2019	LMEL	13	2568	21	13	1			1	0.042																																																																						
4	2019	LMEL	13	2568	21	14	1			1	0.04																																																																						
4	2019	LMEL	13	2568	21	15	1			1	0.033																																																																						
4	2019	LMEL	13	2568	21	16	1			1	0.03																																																																						
4	2019	LMEL	13	2568	21	17	1			1	0.033																																																																						
4	2019	LMEL	13	2568	21	18	1			1	0.03																																																																						
4	2019	LMEL	13	2568	21	19	1			1	0.03																																																																						
4	2019	LMEL	13	2568	21	20	1			1	0.027																																																																						
4	2019	LMEL	13	2568	21	21	1			1	0.031																																																																						
4	2019	LMEL	13	2568	21	22	1			1	0.034																																																																						
4	2019	LMEL	13	2568	21	23	1			1	0.03																																																																						
4	2019	LMEL	13	2568	21	24	1			1	0.036																																																																						
4	2019	LMEL	13	2568	21	25	1			1	0.032																																																																						
4	2019	LMEL	13	2568	21	26	1			1	0.03																																																																						
4	2019	LMEL	13	2568	21	27	1			1	0.035																																																																						
4	2019	LMEL	13	2568	21	28	1			1	0.036																																																																						
4	2019	LMEL	13	2568	21	29	1			1	0.033																																																																						
4	2019	LMEL	13	2568	21	30	1			1	0.038																																																																						
4	2019	LMEL	13	2569	1	1	1	0.028		2	0.205																																																																						0.31340341770624375
4	2019	LMEL	13	2569	2	1	1	0.003		2	0.1																																																																						0.2785798232759246
4	2019	LMEL	13	2569	3	1	1	0.074		2	0.245			2																																																																			0.4880969680479934
4	2019	LMEL	13	2569	4	1	1	0.009		2	0.02																																																																						79.01234567901234
4	2019	LMEL	13	2569	4	2	1	0.009		2	0.02																																																																						79.01234567901234
4	2019	LMEL	13	2569	5	1	1	0.141		2	0.265																																																																						0.7366272041063048
4	2019	LMEL	13	2569	5	2	1	0.129		2	0.25																																																																						0.8013192261290633
4	2019	LMEL	13	2569	5	3	1	0.085		2	0.225																																																																						0.7218961451542057
4	2019	LMEL	13	2569	5	4	1	0.135		2	0.25																																																																						0.8385898878094847
4	2019	LMEL	13	2569	6	1	1	0.205		2	0.28																																																																						0.9092818129083364
4	2019	LMEL	13	2569	6	2	1	0.037		2	0.165																																																																						0.7873308884403999
4	2019	LMEL	13	2569	6	3	1	0.049		2	0.19																																																																						0.6869163893957283
4	2019	LMEL	13	2569	6	4	1	0.335		2	0.32																																																																						0.9987473732804333
4	2019	LMEL	13	2569	6	5	1	0.029		2	0.15																																																																						0.8176895863530428
4	2019	LMEL	13	2569	6	6	1	0.318		2	0.33																																																																						0.8650718321611026
4	2019	LMEL	13	2569	6	7	1	0.422		2	0.36																																																																						0.8859075812866456
4	2019	LMEL	13	2569	6	8	1	0.019		2	0.145																																																																						0.5920761129424138
4	2019	LMEL	13	2569	6	9	1	0.214		2	0.285																																																																						0.900534231938851
4	2019	LMEL	13	2569	6	10	1	0.23		2	0.285																																																																						0.9678638941398865
4	2019	LMEL	13	2569	6	11	1	0.539		2	0.38																																																																						0.9631511482232548
4	2019	LMEL	13	2569	6	12	1	0.007		2	0.09																																																																						0.8844490948216296
4	2019	LMEL	13	2569	6	13	1	0.115		2	0.235																																																																						0.8584341740778539
4	2019	LMEL	13	2569	6	14	1	0.011		2	0.11																																																																						0.772565157750343
4	2019	LMEL	13	2569	7	1	1	0.019		2	0.145																																																																						0.5920761129424138
4	2019	LMEL	13	2569	7	2	1	0.015		2	0.135																																																																						0.5770097670924118
4	2019	LMEL	13	2569	7	3	1	0.019		2	0.15																																																																						0.5357276600244073
4	2019	LMEL	13	2569	7	4	1	0.016		2	0.14																																																																						0.5529366660726918
4	2019	LMEL	13	2569	7	5	1	0.015		2	0.14																																																																						0.5183781244431485
4	2019	LMEL	13	2569	7	6	1	0.016		2	0.135																																																																						0.6154770848985724
4	2019	LMEL	13	2569	7	7	1	0.022		2	0.145																																																																						0.6855618149859528
4	2019	LMEL	13	2569	7	8	1	0.015		2	0.135																																																																						0.5770097670924118
4	2019	LMEL	13	2569	7	9	1	0.019		2	0.145																																																																						0.5920761129424138
4	2019	LMEL	13	2569	7	10	1	0.017		2	0.14																																																																						0.587495207702235
4	2019	LMEL	13	2569	7	11	1	0.018		2	0.14																																																																						0.6220537493317783
4	2019	LMEL	13	2569	7	12	1	0.015		2	0.14																																																																						0.5183781244431485
4	2019	LMEL	13	2569	7	13	1	0.015		2	0.14																																																																						0.5183781244431485
